BD-10-head	BD-9-head	KD-8-head	KD-6-head	BD-10-tumor	BD-09-tumor	KD-8-tumor	KD-6-tumor
76	46	72	93	65	58	52	70
91	64	74	74	63	77	77	62
30	17	26	31	46	37	49	40
87	86	89	94	73	70	84	87
16	8	17	26	19	18	37	29
73	47	55	107	72	77	56	59
75	30	39	66	41	59	64	52
75	30	39	66	41	59	64	52
75	30	39	66	41	59	64	52
75	30	40	66	41	59	64	52
130	88	105	123	122	120	110	100
98	75	69	77	114	82	112	88
1166	711	1022	1019	1106	1004	820	893
499	242	387	454	512	387	334	337
32	13	23	31	41	27	64	42
32	13	23	31	41	27	64	42
81	53	86	98	71	66	96	72
107	58	78	75	86	68	121	70
62	55	63	125	76	65	59	124
20	12	41	24	16	40	44	50
67	38	61	68	56	47	67	65
78	29	43	54	72	58	68	38
89	42	50	60	72	73	70	40
120	83	101	148	123	142	154	113
35	6	31	24	28	18	72	23
86	31	51	79	66	71	83	80
64	39	42	38	53	48	76	46
89	69	90	106	186	114	136	150
125	61	124	80	112	121	158	116
133	59	95	121	83	131	132	67
153	67	104	120	114	101	118	107
95	41	59	76	63	56	75	65
17	2	10	20	7	13	21	18
117	60	107	120	108	68	105	101
54	46	54	75	56	56	68	82
92	59	98	62	84	97	110	55
94	59	104	155	166	123	116	182
30	10	20	33	21	33	31	35
35	13	32	36	22	29	38	27
368	232	295	314	342	423	412	278
161	77	116	136	84	156	219	127
110	42	74	49	66	104	100	45
65	34	60	90	55	68	92	83
138	79	120	140	138	126	139	102
64	55	67	55	70	63	98	70
16	13	22	31	28	42	39	38
16	13	17	31	26	34	28	35
17	13	19	32	28	34	28	39
17	13	19	32	28	34	28	39
20	14	25	39	31	43	34	45
20	14	25	39	31	43	34	45
178	91	146	207	157	152	197	152
25	22	22	39	22	23	32	24
84	46	89	75	47	72	96	60
52	33	60	65	49	75	83	45
72	43	39	84	76	81	86	68
300	199	296	263	298	301	294	281
329	214	331	326	332	331	352	342
329	214	331	326	332	331	352	342
329	214	331	326	332	331	352	342
307	208	324	321	332	324	314	335
339	214	335	335	337	337	357	345
217	121	167	212	181	191	191	233
205	115	153	207	176	180	168	222
258	173	269	282	169	208	310	245
288	190	296	297	194	218	351	255
288	190	296	297	194	218	351	255
288	190	296	297	194	218	351	255
105	43	58	126	50	71	92	110
